"Participant","ParticipantGender","ParticipantAge","InterviewTime","Noun","Age","Gender","Education","Group","ItemType","GramGender","Item","Sentence"
24,"female",21,528.61,"sommite",5,4,6,"1","experimental","feminine","sommité/génie","Une sommité du domaine a reçu le prix."
26,"female",22,928.96,"sommite",5,3,7,"1","experimental","feminine","sommité/génie","Une sommité du domaine a reçu le prix."
27,"female",26,381.79,"sommite",7,4,7,"1","experimental","feminine","sommité/génie","Une sommité du domaine a reçu le prix."
28,"male",22,427.25,"sommite",5,3,7,"1","experimental","feminine","sommité/génie","Une sommité du domaine a reçu le prix."
29,"female",20,659.42,"sommite",3,1,4,"1","experimental","feminine","sommité/génie","Une sommité du domaine a reçu le prix."
30,"female",19,619.32,"sommite",5,4,6,"1","experimental","feminine","sommité/génie","Une sommité du domaine a reçu le prix."
31,"female",18,536,"sommite",5,7,7,"1","experimental","feminine","sommité/génie","Une sommité du domaine a reçu le prix."
34,"female",20,487.27,"sommite",3,4,7,"1","experimental","feminine","sommité/génie","Une sommité du domaine a reçu le prix."
35,"female",26,1138.58,"sommite",4,7,6,"1","experimental","feminine","sommité/génie","Une sommité du domaine a reçu le prix."
36,"N/A",NA,480.71,"sommite",5,4,7,"1","experimental","feminine","sommité/génie","Une sommité du domaine a reçu le prix."
39,"female",21,446.09,"sommite",6,4,7,"1","experimental","feminine","sommité/génie","Une sommité du domaine a reçu le prix."
40,"female",21,463.05,"sommite",5,1,5,"1","experimental","feminine","sommité/génie","Une sommité du domaine a reçu le prix."
41,"male",NA,1038.37,"sommite",5,4,7,"1","experimental","feminine","sommité/génie","Une sommité du domaine a reçu le prix."
42,"male",18,833.13,"sommite",5,4,7,"1","experimental","feminine","sommité/génie","Une sommité du domaine a reçu le prix."
43,"N/A",24,726.77,"sommite",4,4,6,"1","experimental","feminine","sommité/génie","Une sommité du domaine a reçu le prix."
49,"female",19,683.57,"sommite",5,4,7,"1","experimental","feminine","sommité/génie","Une sommité du domaine a reçu le prix."
50,"female",30,436.5,"sommite",5,4,7,"1","experimental","feminine","sommité/génie","Une sommité du domaine a reçu le prix."
51,"female",22,346.04,"sommite",6,2,6,"1","experimental","feminine","sommité/génie","Une sommité du domaine a reçu le prix."
54,"female",19,458.76,"sommite",4,6,6,"1","experimental","feminine","sommité/génie","Une sommité du domaine a reçu le prix."
55,"female",18,606.61,"sommite",4,5,5,"1","experimental","feminine","sommité/génie","Une sommité du domaine a reçu le prix."
56,"female",21,1185.48,"sommite",6,7,6,"1","experimental","feminine","sommité/génie","Une sommité du domaine a reçu le prix."
57,"female",25,753.56,"sommite",4,4,7,"1","experimental","feminine","sommité/génie","Une sommité du domaine a reçu le prix."
59,"female",20,670.1,"sommite",4,6,6,"1","experimental","feminine","sommité/génie","Une sommité du domaine a reçu le prix."
60,"male",20,998.68,"sommite",5,3,7,"1","experimental","feminine","sommité/génie","Une sommité du domaine a reçu le prix."
61,"male",26,3592.14,"sommite",6,4,7,"1","experimental","feminine","sommité/génie","Une sommité du domaine a reçu le prix."
63,"male",21,882.31,"sommite",4,4,5,"1","experimental","feminine","sommité/génie","Une sommité du domaine a reçu le prix."
65,"female",18,722.67,"sommite",5,4,7,"1","experimental","feminine","sommité/génie","Une sommité du domaine a reçu le prix."
67,"female",23,539.78,"sommite",1,4,1,"1","experimental","feminine","sommité/génie","Une sommité du domaine a reçu le prix."
68,"female",22,1150.76,"sommite",4,4,4,"1","experimental","feminine","sommité/génie","Une sommité du domaine a reçu le prix."
69,"male",23,859.27,"sommite",4,4,7,"1","experimental","feminine","sommité/génie","Une sommité du domaine a reçu le prix."
70,"female",26,599.13,"sommite",5,4,7,"1","experimental","feminine","sommité/génie","Une sommité du domaine a reçu le prix."
72,"N/A",22,617.36,"sommite",5,1,6,"1","experimental","feminine","sommité/génie","Une sommité du domaine a reçu le prix."
73,"female",23,558.71,"sommite",2,1,7,"1","experimental","feminine","sommité/génie","Une sommité du domaine a reçu le prix."
74,"female",29,453.76,"sommite",6,2,7,"1","experimental","feminine","sommité/génie","Une sommité du domaine a reçu le prix."
76,"female",20,488.74,"sommite",5,4,5,"1","experimental","feminine","sommité/génie","Une sommité du domaine a reçu le prix."
77,"male",29,483.71,"sommite",6,4,7,"1","experimental","feminine","sommité/génie","Une sommité du domaine a reçu le prix."
81,"male",30,842.67,"sommite",5,1,7,"1","experimental","feminine","sommité/génie","Une sommité du domaine a reçu le prix."
6,"female",19,385.64,"sommite",5,2,7,"1","experimental","feminine","sommité/génie","Une sommité du domaine a reçu le prix."
2,"female",19,2681.81,"charlatan",4,1,3,"1","experimental","masculine","fripouille/charlatan","Ce charlatan a encore réussi à tromper tout le monde."
3,"N/A",18,992.31,"charlatan",3,1,2,"1","experimental","masculine","fripouille/charlatan","Ce charlatan a encore réussi à tromper tout le monde."
7,"male",19,1154.09,"charlatan",3,2,5,"1","experimental","masculine","fripouille/charlatan","Ce charlatan a encore réussi à tromper tout le monde."
8,"male",37,892.48,"charlatan",6,5,5,"1","experimental","masculine","fripouille/charlatan","Ce charlatan a encore réussi à tromper tout le monde."
9,"female",18,816.55,"charlatan",5,1,3,"1","experimental","masculine","fripouille/charlatan","Ce charlatan a encore réussi à tromper tout le monde."
13,"female",21,497.44,"charlatan",4,3,2,"1","experimental","masculine","fripouille/charlatan","Ce charlatan a encore réussi à tromper tout le monde."
15,"male",27,382.12,"charlatan",5,1,2,"1","experimental","masculine","fripouille/charlatan","Ce charlatan a encore réussi à tromper tout le monde."
16,"female",19,750.69,"charlatan",4,2,5,"1","experimental","masculine","fripouille/charlatan","Ce charlatan a encore réussi à tromper tout le monde."
18,"female",25,1068.98,"charlatan",4,2,5,"1","experimental","masculine","fripouille/charlatan","Ce charlatan a encore réussi à tromper tout le monde."
19,"N/A",20,1161.86,"charlatan",5,2,4,"1","experimental","masculine","fripouille/charlatan","Ce charlatan a encore réussi à tromper tout le monde."
20,"male",20,2558.41,"charlatan",5,1,4,"1","experimental","masculine","fripouille/charlatan","Ce charlatan a encore réussi à tromper tout le monde."
21,"female",22,843.78,"charlatan",4,1,2,"1","experimental","masculine","fripouille/charlatan","Ce charlatan a encore réussi à tromper tout le monde."
24,"female",21,528.61,"charlatan",4,1,4,"1","experimental","masculine","fripouille/charlatan","Ce charlatan a encore réussi à tromper tout le monde."
26,"female",22,928.96,"charlatan",4,1,6,"1","experimental","masculine","fripouille/charlatan","Ce charlatan a encore réussi à tromper tout le monde."
27,"female",26,381.79,"charlatan",6,1,5,"1","experimental","masculine","fripouille/charlatan","Ce charlatan a encore réussi à tromper tout le monde."
28,"male",22,427.25,"charlatan",5,1,1,"1","experimental","masculine","fripouille/charlatan","Ce charlatan a encore réussi à tromper tout le monde."
29,"female",20,659.42,"charlatan",3,1,3,"1","experimental","masculine","fripouille/charlatan","Ce charlatan a encore réussi à tromper tout le monde."
30,"female",19,619.32,"charlatan",3,2,4,"1","experimental","masculine","fripouille/charlatan","Ce charlatan a encore réussi à tromper tout le monde."
31,"female",18,536,"charlatan",3,1,3,"1","experimental","masculine","fripouille/charlatan","Ce charlatan a encore réussi à tromper tout le monde."
34,"female",20,487.27,"charlatan",3,1,1,"1","experimental","masculine","fripouille/charlatan","Ce charlatan a encore réussi à tromper tout le monde."
35,"female",26,1138.58,"charlatan",5,4,4,"1","experimental","masculine","fripouille/charlatan","Ce charlatan a encore réussi à tromper tout le monde."
36,"N/A",NA,480.71,"charlatan",4,3,5,"1","experimental","masculine","fripouille/charlatan","Ce charlatan a encore réussi à tromper tout le monde."
39,"female",21,446.09,"charlatan",4,1,6,"1","experimental","masculine","fripouille/charlatan","Ce charlatan a encore réussi à tromper tout le monde."
40,"female",21,463.05,"charlatan",4,1,3,"1","experimental","masculine","fripouille/charlatan","Ce charlatan a encore réussi à tromper tout le monde."
41,"male",NA,1038.37,"charlatan",4,2,4,"1","experimental","masculine","fripouille/charlatan","Ce charlatan a encore réussi à tromper tout le monde."
42,"male",18,833.13,"charlatan",5,1,5,"1","experimental","masculine","fripouille/charlatan","Ce charlatan a encore réussi à tromper tout le monde."
43,"N/A",24,726.77,"charlatan",5,3,6,"1","experimental","masculine","fripouille/charlatan","Ce charlatan a encore réussi à tromper tout le monde."
49,"female",19,683.57,"charlatan",5,3,2,"1","experimental","masculine","fripouille/charlatan","Ce charlatan a encore réussi à tromper tout le monde."
50,"female",30,436.5,"charlatan",4,4,4,"1","experimental","masculine","fripouille/charlatan","Ce charlatan a encore réussi à tromper tout le monde."
51,"female",22,346.04,"charlatan",5,1,6,"1","experimental","masculine","fripouille/charlatan","Ce charlatan a encore réussi à tromper tout le monde."
54,"female",19,458.76,"charlatan",4,1,4,"1","experimental","masculine","fripouille/charlatan","Ce charlatan a encore réussi à tromper tout le monde."
55,"female",18,606.61,"charlatan",4,3,3,"1","experimental","masculine","fripouille/charlatan","Ce charlatan a encore réussi à tromper tout le monde."
56,"female",21,1185.48,"charlatan",4,1,4,"1","experimental","masculine","fripouille/charlatan","Ce charlatan a encore réussi à tromper tout le monde."
57,"female",25,753.56,"charlatan",4,1,4,"1","experimental","masculine","fripouille/charlatan","Ce charlatan a encore réussi à tromper tout le monde."
59,"female",20,670.1,"charlatan",5,3,4,"1","experimental","masculine","fripouille/charlatan","Ce charlatan a encore réussi à tromper tout le monde."
60,"male",20,998.68,"charlatan",4,2,6,"1","experimental","masculine","fripouille/charlatan","Ce charlatan a encore réussi à tromper tout le monde."
61,"male",26,3592.14,"charlatan",4,4,2,"1","experimental","masculine","fripouille/charlatan","Ce charlatan a encore réussi à tromper tout le monde."
63,"male",21,882.31,"charlatan",4,2,4,"1","experimental","masculine","fripouille/charlatan","Ce charlatan a encore réussi à tromper tout le monde."
65,"female",18,722.67,"charlatan",5,2,4,"1","experimental","masculine","fripouille/charlatan","Ce charlatan a encore réussi à tromper tout le monde."
67,"female",23,539.78,"charlatan",5,1,4,"1","experimental","masculine","fripouille/charlatan","Ce charlatan a encore réussi à tromper tout le monde."
68,"female",22,1150.76,"charlatan",5,1,5,"1","experimental","masculine","fripouille/charlatan","Ce charlatan a encore réussi à tromper tout le monde."
69,"male",23,859.27,"charlatan",4,6,5,"1","experimental","masculine","fripouille/charlatan","Ce charlatan a encore réussi à tromper tout le monde."
70,"female",26,599.13,"charlatan",5,1,4,"1","experimental","masculine","fripouille/charlatan","Ce charlatan a encore réussi à tromper tout le monde."
72,"N/A",22,617.36,"charlatan",4,1,3,"1","experimental","masculine","fripouille/charlatan","Ce charlatan a encore réussi à tromper tout le monde."
73,"female",23,558.71,"charlatan",3,1,6,"1","experimental","masculine","fripouille/charlatan","Ce charlatan a encore réussi à tromper tout le monde."
74,"female",29,453.76,"charlatan",5,1,1,"1","experimental","masculine","fripouille/charlatan","Ce charlatan a encore réussi à tromper tout le monde."
76,"female",20,488.74,"charlatan",3,4,1,"1","experimental","masculine","fripouille/charlatan","Ce charlatan a encore réussi à tromper tout le monde."
77,"male",29,483.71,"charlatan",4,3,4,"1","experimental","masculine","fripouille/charlatan","Ce charlatan a encore réussi à tromper tout le monde."
81,"male",30,842.67,"charlatan",5,1,2,"1","experimental","masculine","fripouille/charlatan","Ce charlatan a encore réussi à tromper tout le monde."
6,"female",19,385.64,"charlatan",6,3,3,"1","experimental","masculine","fripouille/charlatan","Ce charlatan a encore réussi à tromper tout le monde."
2,"female",19,2681.81,"claude",6,5,4,"1","filler","","Claude","Claude m’a passé un coup de fil ce matin."
3,"N/A",18,992.31,"claude",5,2,5,"1","filler","","Claude","Claude m’a passé un coup de fil ce matin."
7,"male",19,1154.09,"claude",5,3,5,"1","filler","","Claude","Claude m’a passé un coup de fil ce matin."
8,"male",37,892.48,"claude",5,3,4,"1","filler","","Claude","Claude m’a passé un coup de fil ce matin."
9,"female",18,816.55,"claude",7,4,5,"1","filler","","Claude","Claude m’a passé un coup de fil ce matin."
13,"female",21,497.44,"claude",5,2,5,"1","filler","","Claude","Claude m’a passé un coup de fil ce matin."
15,"male",27,382.12,"claude",5,5,3,"1","filler","","Claude","Claude m’a passé un coup de fil ce matin."
16,"female",19,750.69,"claude",6,1,6,"1","filler","","Claude","Claude m’a passé un coup de fil ce matin."
18,"female",25,1068.98,"claude",5,4,5,"1","filler","","Claude","Claude m’a passé un coup de fil ce matin."
19,"N/A",20,1161.86,"claude",6,1,4,"1","filler","","Claude","Claude m’a passé un coup de fil ce matin."
20,"male",20,2558.41,"claude",6,4,5,"1","filler","","Claude","Claude m’a passé un coup de fil ce matin."
21,"female",22,843.78,"claude",5,5,4,"1","filler","","Claude","Claude m’a passé un coup de fil ce matin."
24,"female",21,528.61,"claude",4,3,4,"1","filler","","Claude","Claude m’a passé un coup de fil ce matin."
26,"female",22,928.96,"claude",6,2,5,"1","filler","","Claude","Claude m’a passé un coup de fil ce matin."
27,"female",26,381.79,"claude",7,1,5,"1","filler","","Claude","Claude m’a passé un coup de fil ce matin."
28,"male",22,427.25,"claude",5,2,3,"1","filler","","Claude","Claude m’a passé un coup de fil ce matin."
29,"female",20,659.42,"claude",6,1,5,"1","filler","","Claude","Claude m’a passé un coup de fil ce matin."
30,"female",19,619.32,"claude",6,1,4,"1","filler","","Claude","Claude m’a passé un coup de fil ce matin."
31,"female",18,536,"claude",6,1,7,"1","filler","","Claude","Claude m’a passé un coup de fil ce matin."
34,"female",20,487.27,"claude",5,3,4,"1","filler","","Claude","Claude m’a passé un coup de fil ce matin."
35,"female",26,1138.58,"claude",5,2,3,"1","filler","","Claude","Claude m’a passé un coup de fil ce matin."
36,"N/A",NA,480.71,"claude",7,3,4,"1","filler","","Claude","Claude m’a passé un coup de fil ce matin."
39,"female",21,446.09,"claude",7,1,5,"1","filler","","Claude","Claude m’a passé un coup de fil ce matin."
40,"female",21,463.05,"claude",6,7,5,"1","filler","","Claude","Claude m’a passé un coup de fil ce matin."
41,"male",NA,1038.37,"claude",4,3,4,"1","filler","","Claude","Claude m’a passé un coup de fil ce matin."
42,"male",18,833.13,"claude",5,1,4,"1","filler","","Claude","Claude m’a passé un coup de fil ce matin."
43,"N/A",24,726.77,"claude",3,4,4,"1","filler","","Claude","Claude m’a passé un coup de fil ce matin."
49,"female",19,683.57,"claude",7,1,3,"1","filler","","Claude","Claude m’a passé un coup de fil ce matin."
50,"female",30,436.5,"claude",5,4,4,"1","filler","","Claude","Claude m’a passé un coup de fil ce matin."
51,"female",22,346.04,"claude",6,1,4,"1","filler","","Claude","Claude m’a passé un coup de fil ce matin."
54,"female",19,458.76,"claude",5,1,4,"1","filler","","Claude","Claude m’a passé un coup de fil ce matin."
55,"female",18,606.61,"claude",5,4,4,"1","filler","","Claude","Claude m’a passé un coup de fil ce matin."
56,"female",21,1185.48,"claude",6,1,5,"1","filler","","Claude","Claude m’a passé un coup de fil ce matin."
57,"female",25,753.56,"claude",4,1,4,"1","filler","","Claude","Claude m’a passé un coup de fil ce matin."
59,"female",20,670.1,"claude",4,4,4,"1","filler","","Claude","Claude m’a passé un coup de fil ce matin."
60,"male",20,998.68,"claude",5,3,4,"1","filler","","Claude","Claude m’a passé un coup de fil ce matin."
61,"male",26,3592.14,"claude",4,4,4,"1","filler","","Claude","Claude m’a passé un coup de fil ce matin."
63,"male",21,882.31,"claude",5,1,4,"1","filler","","Claude","Claude m’a passé un coup de fil ce matin."
65,"female",18,722.67,"claude",3,5,3,"1","filler","","Claude","Claude m’a passé un coup de fil ce matin."
67,"female",23,539.78,"claude",5,1,4,"1","filler","","Claude","Claude m’a passé un coup de fil ce matin."
68,"female",22,1150.76,"claude",5,3,4,"1","filler","","Claude","Claude m’a passé un coup de fil ce matin."
69,"male",23,859.27,"claude",6,2,4,"1","filler","","Claude","Claude m’a passé un coup de fil ce matin."
70,"female",26,599.13,"claude",4,1,4,"1","filler","","Claude","Claude m’a passé un coup de fil ce matin."
72,"N/A",22,617.36,"claude",4,4,4,"1","filler","","Claude","Claude m’a passé un coup de fil ce matin."
73,"female",23,558.71,"claude",6,1,3,"1","filler","","Claude","Claude m’a passé un coup de fil ce matin."
74,"female",29,453.76,"claude",5,1,4,"1","filler","","Claude","Claude m’a passé un coup de fil ce matin."
76,"female",20,488.74,"claude",4,4,4,"1","filler","","Claude","Claude m’a passé un coup de fil ce matin."
77,"male",29,483.71,"claude",6,4,5,"1","filler","","Claude","Claude m’a passé un coup de fil ce matin."
81,"male",30,842.67,"claude",4,1,4,"1","filler","","Claude","Claude m’a passé un coup de fil ce matin."
6,"female",19,385.64,"claude",6,3,3,"1","filler","","Claude","Claude m’a passé un coup de fil ce matin."
2,"female",19,2681.81,"dominique",7,7,4,"1","filler","","Dominique","Dominique a une fracture au poignet."
3,"N/A",18,992.31,"dominique",4,4,4,"1","filler","","Dominique","Dominique a une fracture au poignet."
7,"male",19,1154.09,"dominique",6,3,4,"1","filler","","Dominique","Dominique a une fracture au poignet."
8,"male",37,892.48,"dominique",5,4,4,"1","filler","","Dominique","Dominique a une fracture au poignet."
9,"female",18,816.55,"dominique",6,3,4,"1","filler","","Dominique","Dominique a une fracture au poignet."
13,"female",21,497.44,"dominique",5,4,4,"1","filler","","Dominique","Dominique a une fracture au poignet."
15,"male",27,382.12,"dominique",6,6,4,"1","filler","","Dominique","Dominique a une fracture au poignet."
16,"female",19,750.69,"dominique",2,4,6,"1","filler","","Dominique","Dominique a une fracture au poignet."
18,"female",25,1068.98,"dominique",5,5,6,"1","filler","","Dominique","Dominique a une fracture au poignet."
19,"N/A",20,1161.86,"dominique",6,4,4,"1","filler","","Dominique","Dominique a une fracture au poignet."
20,"male",20,2558.41,"dominique",5,4,4,"1","filler","","Dominique","Dominique a une fracture au poignet."
21,"female",22,843.78,"dominique",4,4,3,"1","filler","","Dominique","Dominique a une fracture au poignet."
24,"female",21,528.61,"dominique",5,7,4,"1","filler","","Dominique","Dominique a une fracture au poignet."
26,"female",22,928.96,"dominique",5,7,5,"1","filler","","Dominique","Dominique a une fracture au poignet."
27,"female",26,381.79,"dominique",7,4,6,"1","filler","","Dominique","Dominique a une fracture au poignet."
28,"male",22,427.25,"dominique",5,4,4,"1","filler","","Dominique","Dominique a une fracture au poignet."
29,"female",20,659.42,"dominique",5,4,5,"1","filler","","Dominique","Dominique a une fracture au poignet."
30,"female",19,619.32,"dominique",5,5,4,"1","filler","","Dominique","Dominique a une fracture au poignet."
31,"female",18,536,"dominique",5,1,7,"1","filler","","Dominique","Dominique a une fracture au poignet."
34,"female",20,487.27,"dominique",5,4,5,"1","filler","","Dominique","Dominique a une fracture au poignet."
35,"female",26,1138.58,"dominique",5,4,3,"1","filler","","Dominique","Dominique a une fracture au poignet."
36,"N/A",NA,480.71,"dominique",5,4,4,"1","filler","","Dominique","Dominique a une fracture au poignet."
39,"female",21,446.09,"dominique",6,1,2,"1","filler","","Dominique","Dominique a une fracture au poignet."
40,"female",21,463.05,"dominique",4,7,4,"1","filler","","Dominique","Dominique a une fracture au poignet."
41,"male",NA,1038.37,"dominique",4,4,4,"1","filler","","Dominique","Dominique a une fracture au poignet."
42,"male",18,833.13,"dominique",5,5,5,"1","filler","","Dominique","Dominique a une fracture au poignet."
43,"N/A",24,726.77,"dominique",4,4,5,"1","filler","","Dominique","Dominique a une fracture au poignet."
49,"female",19,683.57,"dominique",6,5,3,"1","filler","","Dominique","Dominique a une fracture au poignet."
50,"female",30,436.5,"dominique",5,4,4,"1","filler","","Dominique","Dominique a une fracture au poignet."
51,"female",22,346.04,"dominique",7,7,4,"1","filler","","Dominique","Dominique a une fracture au poignet."
54,"female",19,458.76,"dominique",5,6,3,"1","filler","","Dominique","Dominique a une fracture au poignet."
55,"female",18,606.61,"dominique",5,4,4,"1","filler","","Dominique","Dominique a une fracture au poignet."
56,"female",21,1185.48,"dominique",4,1,4,"1","filler","","Dominique","Dominique a une fracture au poignet."
57,"female",25,753.56,"dominique",4,7,4,"1","filler","","Dominique","Dominique a une fracture au poignet."
59,"female",20,670.1,"dominique",3,4,3,"1","filler","","Dominique","Dominique a une fracture au poignet."
60,"male",20,998.68,"dominique",6,4,2,"1","filler","","Dominique","Dominique a une fracture au poignet."
61,"male",26,3592.14,"dominique",4,4,4,"1","filler","","Dominique","Dominique a une fracture au poignet."
63,"male",21,882.31,"dominique",4,4,4,"1","filler","","Dominique","Dominique a une fracture au poignet."
65,"female",18,722.67,"dominique",4,5,4,"1","filler","","Dominique","Dominique a une fracture au poignet."
67,"female",23,539.78,"dominique",4,4,4,"1","filler","","Dominique","Dominique a une fracture au poignet."
68,"female",22,1150.76,"dominique",4,4,4,"1","filler","","Dominique","Dominique a une fracture au poignet."
69,"male",23,859.27,"dominique",5,4,4,"1","filler","","Dominique","Dominique a une fracture au poignet."
70,"female",26,599.13,"dominique",5,7,4,"1","filler","","Dominique","Dominique a une fracture au poignet."
72,"N/A",22,617.36,"dominique",4,4,4,"1","filler","","Dominique","Dominique a une fracture au poignet."
73,"female",23,558.71,"dominique",4,1,3,"1","filler","","Dominique","Dominique a une fracture au poignet."
74,"female",29,453.76,"dominique",4,4,4,"1","filler","","Dominique","Dominique a une fracture au poignet."
76,"female",20,488.74,"dominique",5,7,4,"1","filler","","Dominique","Dominique a une fracture au poignet."
77,"male",29,483.71,"dominique",6,4,5,"1","filler","","Dominique","Dominique a une fracture au poignet."
81,"male",30,842.67,"dominique",3,7,4,"1","filler","","Dominique","Dominique a une fracture au poignet."
6,"female",19,385.64,"dominique",5,5,5,"1","filler","","Dominique","Dominique a une fracture au poignet."
2,"female",19,2681.81,"louison",3,7,6,"1","filler","","Louison","Louison lisait un roman dans le train."
3,"N/A",18,992.31,"louison",3,1,6,"1","filler","","Louison","Louison lisait un roman dans le train."
7,"male",19,1154.09,"louison",3,2,6,"1","filler","","Louison","Louison lisait un roman dans le train."
8,"male",37,892.48,"louison",3,7,5,"1","filler","","Louison","Louison lisait un roman dans le train."
9,"female",18,816.55,"louison",3,5,4,"1","filler","","Louison","Louison lisait un roman dans le train."
13,"female",21,497.44,"louison",3,7,6,"1","filler","","Louison","Louison lisait un roman dans le train."
15,"male",27,382.12,"louison",1,7,6,"1","filler","","Louison","Louison lisait un roman dans le train."
16,"female",19,750.69,"louison",5,2,6,"1","filler","","Louison","Louison lisait un roman dans le train."
18,"female",25,1068.98,"louison",4,6,6,"1","filler","","Louison","Louison lisait un roman dans le train."
19,"N/A",20,1161.86,"louison",2,6,6,"1","filler","","Louison","Louison lisait un roman dans le train."
20,"male",20,2558.41,"louison",1,3,5,"1","filler","","Louison","Louison lisait un roman dans le train."
21,"female",22,843.78,"louison",2,5,5,"1","filler","","Louison","Louison lisait un roman dans le train."
24,"female",21,528.61,"louison",3,7,5,"1","filler","","Louison","Louison lisait un roman dans le train."
26,"female",22,928.96,"louison",5,7,4,"1","filler","","Louison","Louison lisait un roman dans le train."
27,"female",26,381.79,"louison",4,1,6,"1","filler","","Louison","Louison lisait un roman dans le train."
28,"male",22,427.25,"louison",6,2,6,"1","filler","","Louison","Louison lisait un roman dans le train."
29,"female",20,659.42,"louison",4,7,5,"1","filler","","Louison","Louison lisait un roman dans le train."
30,"female",19,619.32,"louison",3,6,4,"1","filler","","Louison","Louison lisait un roman dans le train."
31,"female",18,536,"louison",3,7,5,"1","filler","","Louison","Louison lisait un roman dans le train."
34,"female",20,487.27,"louison",3,7,6,"1","filler","","Louison","Louison lisait un roman dans le train."
35,"female",26,1138.58,"louison",4,2,5,"1","filler","","Louison","Louison lisait un roman dans le train."
36,"N/A",NA,480.71,"louison",7,7,5,"1","filler","","Louison","Louison lisait un roman dans le train."
39,"female",21,446.09,"louison",1,7,5,"1","filler","","Louison","Louison lisait un roman dans le train."
40,"female",21,463.05,"louison",7,1,6,"1","filler","","Louison","Louison lisait un roman dans le train."
41,"male",NA,1038.37,"louison",3,4,5,"1","filler","","Louison","Louison lisait un roman dans le train."
42,"male",18,833.13,"louison",3,1,6,"1","filler","","Louison","Louison lisait un roman dans le train."
43,"N/A",24,726.77,"louison",3,4,4,"1","filler","","Louison","Louison lisait un roman dans le train."
49,"female",19,683.57,"louison",3,5,5,"1","filler","","Louison","Louison lisait un roman dans le train."
50,"female",30,436.5,"louison",7,4,6,"1","filler","","Louison","Louison lisait un roman dans le train."
51,"female",22,346.04,"louison",5,7,5,"1","filler","","Louison","Louison lisait un roman dans le train."
54,"female",19,458.76,"louison",3,7,5,"1","filler","","Louison","Louison lisait un roman dans le train."
55,"female",18,606.61,"louison",6,7,5,"1","filler","","Louison","Louison lisait un roman dans le train."
56,"female",21,1185.48,"louison",6,1,6,"1","filler","","Louison","Louison lisait un roman dans le train."
57,"female",25,753.56,"louison",4,4,4,"1","filler","","Louison","Louison lisait un roman dans le train."
59,"female",20,670.1,"louison",3,7,5,"1","filler","","Louison","Louison lisait un roman dans le train."
60,"male",20,998.68,"louison",6,6,6,"1","filler","","Louison","Louison lisait un roman dans le train."
61,"male",26,3592.14,"louison",4,6,4,"1","filler","","Louison","Louison lisait un roman dans le train."
63,"male",21,882.31,"louison",6,2,4,"1","filler","","Louison","Louison lisait un roman dans le train."
65,"female",18,722.67,"louison",3,5,4,"1","filler","","Louison","Louison lisait un roman dans le train."
67,"female",23,539.78,"louison",4,6,5,"1","filler","","Louison","Louison lisait un roman dans le train."
68,"female",22,1150.76,"louison",5,1,6,"1","filler","","Louison","Louison lisait un roman dans le train."
69,"male",23,859.27,"louison",5,6,5,"1","filler","","Louison","Louison lisait un roman dans le train."
70,"female",26,599.13,"louison",2,7,6,"1","filler","","Louison","Louison lisait un roman dans le train."
72,"N/A",22,617.36,"louison",6,1,6,"1","filler","","Louison","Louison lisait un roman dans le train."
73,"female",23,558.71,"louison",2,1,6,"1","filler","","Louison","Louison lisait un roman dans le train."
74,"female",29,453.76,"louison",4,1,4,"1","filler","","Louison","Louison lisait un roman dans le train."
76,"female",20,488.74,"louison",6,3,5,"1","filler","","Louison","Louison lisait un roman dans le train."
77,"male",29,483.71,"louison",7,7,4,"1","filler","","Louison","Louison lisait un roman dans le train."
81,"male",30,842.67,"louison",3,4,5,"1","filler","","Louison","Louison lisait un roman dans le train."
6,"female",19,385.64,"louison",7,7,4,"1","filler","","Louison","Louison lisait un roman dans le train."
2,"female",19,2681.81,"lou",3,7,5,"1","filler","","Lou","Lou se rend au commissariat pour un témoignage."
3,"N/A",18,992.31,"lou",4,7,5,"1","filler","","Lou","Lou se rend au commissariat pour un témoignage."
7,"male",19,1154.09,"lou",5,6,2,"1","filler","","Lou","Lou se rend au commissariat pour un témoignage."
8,"male",37,892.48,"lou",2,6,5,"1","filler","","Lou","Lou se rend au commissariat pour un témoignage."
9,"female",18,816.55,"lou",2,4,4,"1","filler","","Lou","Lou se rend au commissariat pour un témoignage."
13,"female",21,497.44,"lou",3,7,5,"1","filler","","Lou","Lou se rend au commissariat pour un témoignage."
15,"male",27,382.12,"lou",1,7,4,"1","filler","","Lou","Lou se rend au commissariat pour un témoignage."
16,"female",19,750.69,"lou",3,5,5,"1","filler","","Lou","Lou se rend au commissariat pour un témoignage."
18,"female",25,1068.98,"lou",3,4,5,"1","filler","","Lou","Lou se rend au commissariat pour un témoignage."
19,"N/A",20,1161.86,"lou",2,5,5,"1","filler","","Lou","Lou se rend au commissariat pour un témoignage."
20,"male",20,2558.41,"lou",2,5,5,"1","filler","","Lou","Lou se rend au commissariat pour un témoignage."
21,"female",22,843.78,"lou",3,7,4,"1","filler","","Lou","Lou se rend au commissariat pour un témoignage."
24,"female",21,528.61,"lou",2,7,4,"1","filler","","Lou","Lou se rend au commissariat pour un témoignage."
26,"female",22,928.96,"lou",2,7,5,"1","filler","","Lou","Lou se rend au commissariat pour un témoignage."
27,"female",26,381.79,"lou",3,7,4,"1","filler","","Lou","Lou se rend au commissariat pour un témoignage."
28,"male",22,427.25,"lou",4,5,5,"1","filler","","Lou","Lou se rend au commissariat pour un témoignage."
